date,ppo_price_sentiment,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-12-16,1069078.4787928772,1192979.6220517699,1204073.8677817124,1114823.244567233,896817.4928813799
2022-12-19,1058130.5894648742,1191538.325800074,1202624.9816204805,1117689.4913281205,883387.860653379
2022-12-20,1056987.57074234,1188198.4667674499,1199359.896000827,1110464.5792478987,887966.0086105609
2022-12-21,1058130.5894648742,1197231.85873151,1208366.2488661734,1120649.9863111167,894724.4125298796
2022-12-22,1070221.4975154113,1195225.5049625067,1206167.1378713439,1123383.5846173812,889928.1956916723
2022-12-23,1066311.5587031555,1192455.6845442161,1203636.6488312231,1126458.68156367,887966.0086105609
2022-12-27,1069018.3305537414,1188490.2795028805,1199116.0824131693,1122006.8275817381,878373.4017949
2022-12-28,1068717.7915370178,1181110.1696441583,1191825.1848452669,1114379.841302521,873359.2026452906
2022-12-29,1064085.7705867004,1186335.7352674166,1197549.6578569792,1118141.4651291883,892762.3120183916
2022-12-30,1069499.7186457824,1185682.6069745827,1196713.0084392102,1115747.0440211424,892762.3120183916
2023-01-03,1064025.5212580871,1184994.771006083,1196097.7112917034,1116175.4421305652,885131.8057142184
2023-01-04,1073289.3609797668,1188279.932520115,1198405.447177591,1108593.0094325473,898212.5623604282
2023-01-05,1084959.635714264,1190802.8153182333,1200013.9596220164,1111103.1868320224,890146.2645726976
2023-01-06,1076958.9090144348,1214655.349513141,1224460.8093378332,1121474.726837722,901918.8676416253
2023-01-09,1085681.1113154602,1178470.8667106507,1187905.727595178,1077978.5192462734,902790.8834568566
2023-01-10,1057588.95204422,1185794.027669035,1194777.4252517652,1080735.1677547814,909985.4251382257
2023-01-11,1055062.4227320862,1185239.8157411846,1194217.9802471823,1083270.8420450874,915217.5200296137
2023-01-12,1053378.373125763,1180058.0930868825,1189206.7557739476,1090097.8849004325,922848.1994730334
2023-01-13,1048084.5193659973,1185433.5095021992,1194367.0065729495,1094779.4898864895,932004.4953873974
2023-01-17,1044655.6653773498,1174345.4548039685,1182776.6026355065,1080266.9496472368,928516.4321264719
2023-01-18,1038219.1972529602,1154281.2507332829,1162328.6361177764,1059815.4150199776,919795.9276956655
2023-01-19,1022579.0376460266,1155517.9168596622,1163023.9895674852,1058755.5996049577,920667.9435108969
2023-01-20,1021195.527056427,1159505.086216599,1167220.9327820477,1060757.7247957007,931786.5996456186
2023-01-23,1016443.2096278381,1158170.3009290136,1166043.757437398,1054102.2691001066,947919.4549299496
2023-01-24,1013856.5320765686,1153183.358167598,1161338.8527202085,1046345.8080436772,936800.9719344742
2023-01-25,1013856.5320765686,1155385.5993811237,1163847.8777352264,1046946.8132448923,940289.0351953998
2023-01-26,1021075.129488678,1148367.385151988,1157102.2962986103,1043862.0812841215,942251.3088461342
2023-01-27,1017345.4332148742,1140653.832675829,1149503.5319682918,1036710.7648815551,946611.3013526677
2023-01-30,1013375.3461634826,1131167.315190595,1138950.5415627223,1026308.0159499195,935710.8872382179
2023-01-31,975898.9496028137,1143244.588135414,1151174.2667676297,1039626.419814354,949227.6085072316
2023-02-01,984440.8082759094,1136172.6786170935,1144276.4081505234,1030717.0342997789,955114.0831809419
2023-02-02,993464.0550410461,1126387.1387843457,1136310.7268067452,1015279.1235628491,964706.4302877332
2023-02-03,997193.8524043274,1130885.597215703,1140220.885689906,1019110.4644207278,955114.0831809419
2023-02-06,991599.3585383606,1136063.759331664,1144285.1895654257,1028011.9615990545,953369.964980856
2023-02-07,984080.0199305725,1139707.1542137817,1147174.21594024,1033559.4173737576,960782.3158343806
2023-02-08,984320.5117976379,1134125.1381347699,1141858.4044454219,1020265.9438134864,946611.3013526677
2023-02-09,985583.9280879211,1130988.104439804,1138025.483638594,1007402.641012713,935274.7494761674
2023-02-10,972289.4487178039,1143799.942217036,1150700.4592458282,1003940.5730338664,932222.6508380459
2023-02-13,976801.2742793274,1154021.5268834638,1160535.0150046125,1013227.833338297,937018.7811066299
2023-02-14,980410.4718959045,1144222.3614067556,1150946.50942136,999722.4335192005,935492.9049268158
2023-02-15,976139.6436488342,1129551.6108784368,1136264.1658704667,991048.4705854771,936800.9719344742
2023-02-16,960078.3452784729,1112948.5776348705,1119871.6714546916,975381.7057034372,925900.2981111548
2023-02-17,953280.7855403137,1132933.3267891754,1139253.9164407027,986005.5971524364,944431.3916690242
2023-02-21,973153.5615718078,1125271.6058385184,1131090.3720550742,986568.207982704,915653.6577916642
2023-02-22,958672.9993617248,1120493.3943354604,1126005.4954600292,975607.9108502865,919359.7033639917
2023-02-23,957340.0335108947,1123018.049329188,1128086.1625905263,985544.2498250722,925682.2292301294
2023-02-24,957037.1694361877,1110665.404597004,1115531.4301560374,984499.0987862839,907587.2734343105
2023-02-27,946373.9480769348,1108858.3971668999,1112972.6727203007,987185.7572741414,897122.5642337948
2023-02-28,944313.9467036438,1096912.3392091203,1101685.6205160385,971888.0950183605,900174.8360111626
2023-03-01,929954.4896876526,1100460.1645768003,1104668.5448440071,978089.2476120964,930478.53263796
2023-03-02,925774.2376124572,1098217.4615389642,1102857.3282595943,971510.2584379765,926772.4004960093
2023-03-03,925046.8988215637,1105687.3608415993,1110972.0703209413,975230.076496234,939853.0705725957
2023-03-06,934559.3175685119,1112477.1950554356,1116436.7212363086,992045.6184104442,924374.2487920941
2023-03-07,943889.5730769348,1097809.6093458128,1100898.8649126543,985297.8235404696,908895.2538723458
2023-03-08,934983.3879267883,1085457.1149481568,1089622.0862308496,961332.4733371435,906715.0844798327
2023-03-09,928137.2041499328,1071857.7764694404,1075606.6044393138,951084.6075076162,887311.8885371084
2023-03-10,917715.8526869355,1073671.8776738993,1077261.133284628,959098.7672983281,863548.7000878509
2023-03-13,919957.951319748,1079416.3410991428,1084351.542520143,957545.8701196924,879463.4864911566
2023-03-14,928744.256220871,1088601.385889882,1092637.6942011386,956588.3242495727,895378.5326033321
2023-03-15,933955.6998549042,1095509.032028922,1099716.3030939808,956936.2060404166,894724.4125298796
2023-03-16,936561.3711195526,1097036.411952871,1101322.4725393835,964638.3790076148,901482.7298795746
2023-03-17,934622.3844862519,1079024.0578638953,1084278.404436326,945778.8018066927,885567.8569066457
2023-03-20,924623.9349012909,1097251.0396697023,1102527.1429529754,956473.377817587,895515.5723169737
2023-03-21,933773.7113295136,1095079.8047368736,1100235.0512569072,960455.7059116325,896390.1852209031
2023-03-22,933773.7113295136,1079219.0937564722,1083995.941057585,941463.4329026011,875182.7917595414
2023-03-23,916564.6741591034,1086041.1143989475,1090942.2675590839,951449.6764489878,869498.3705865508
2023-03-24,917049.2691603241,1100306.6412950216,1105114.6221232365,968114.0451985545,877150.5192965422
2023-03-27,926260.0117445526,1102841.2487590502,1106741.6899785586,962432.7287794796,892892.0798836781
2023-03-28,930198.6478529511,1103444.1233118568,1107253.8335393814,965885.714578473,886114.457507993
2023-03-29,921230.3544264374,1107819.3773212759,1112397.012734217,969445.3723120787,892673.4050152899
2023-03-30,930259.2095900116,1110997.3190320483,1115347.9858535014,970547.9704335254,888519.3616425236
2023-03-31,930986.4559584198,1122065.365568627,1126603.8182099117,979676.7245066257,896608.6869500448
2023-04-03,940500.2094374237,1132410.163018438,1136777.2487454168,983562.5946242904,902730.4578598118
2023-04-04,951710.6014967499,1128953.1782855026,1133320.5859235416,981333.1555429342,892673.4050152899
2023-04-05,961648.2871351776,1154521.3770559144,1159268.2928394608,1000857.9992036261,895952.8354841267
2023-04-06,1004792.9134779511,1159550.5517939287,1163888.0922080295,1002497.8201804848,910601.108298945
2023-04-10,1002005.4558973847,1153886.5427443255,1158367.2393883565,993493.4437897681,909726.668534262
2023-04-11,996976.0007887421,1153971.7075953372,1158577.0616386756,994400.6705509711,909726.668534262
2023-04-12,996673.1921034394,1155478.58187631,1159004.7016553446,993603.8354760522,904698.0122575661
2023-04-13,994552.4191542206,1168368.3065773202,1171351.530861335,1005135.1849333567,919346.4582116308
2023-04-14,1007822.9213209687,1163361.1017791382,1166213.164797733,1001324.169756005,906447.2380654252
2023-04-17,1006186.8444777069,1164741.6295501236,1167613.96363144,1004828.4337801586,924593.7027870917
2023-04-18,1005156.789423996,1157113.3994755473,1158750.5470542016,996751.2169812567,916941.467507477
2023-04-19,976918.5398817597,1157032.2973775708,1158670.0112127522,993607.7414856544,922844.5635488561
2023-04-20,986129.3835707245,1155265.8448771737,1156495.3863192082,993741.3629388856,920439.6594143254
2023-04-21,992492.1068373261,1165689.6973982179,1166412.7311061448,1008821.2677743809,930715.213987989
2023-04-24,987098.9779921112,1168529.8649222725,1168691.3322192414,1009889.6516394067,925905.4057189279
2023-04-25,993097.9264174042,1162275.0600614445,1161851.4296959103,995092.6797196498,909508.0802354971
2023-04-26,1002187.343318039,1141806.879437313,1141943.558399545,973309.1401697196,902074.4332546473
2023-04-27,986674.7425184784,1135215.4067489281,1136003.5206588504,984756.2425603024,911038.631174968
2023-04-28,988977.4028883515,1139632.6161941695,1140590.8292413668,998795.2015545763,919783.7213787839
2023-05-01,993219.1509962616,1149348.2462949746,1150033.4465574191,1008629.3392662377,927435.6969495289
2023-05-02,992613.3314161835,1145623.0481359994,1145731.1019244387,1014069.7006204757,916941.467507477
